id,hand_player,bot_card_high,bot_card_suit_high,bot_card_medium,bot_card_suit_medium,bot_card_low,bot_card_suit_low,human_card_high,human_card_suit_high,human_card_medium,human_card_suit_medium,human_card_low,human_card_suit_low,bot_play_1,human_play_1,bot_play_2,human_play_2,bot_play_3,human_play_3,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,bot_points_envido,human_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,bot_points_flor,human_flor_points,who_won_flor,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,bot_old_points,human_old_points,bot_new_points,human_new_points,bot_hand_balance,human_hand_balance,bot_hand_quality,human_hand_quality
11,2,8,OURO,3,ESPADAS,1,ESPADAS,7,OURO,2,COPAS,1,COPAS,-46,1,-46,1,-46,1,1,1,1,0,0,0,26,5,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,11,18,12,18,1,0,12,10
12,1,42,ESPADAS,16,OURO,2,BASTOS,24,OURO,16,ESPADAS,7,ESPADAS,16,24,42,7,-15,1,2,1,2,1,0,0,27,3,2,1,1,0,0,0,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,12,18,13,19,1,1,60,47
13,2,50,BASTOS,24,COPAS,12,ESPADAS,2,OURO,1,ESPADAS,1,ESPADAS,-46,1,-46,1,-46,1,1,1,1,2,0,0,3,33,1,2,1,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,13,19,14,20,1,1,86,4
14,1,42,ESPADAS,24,BASTOS,8,ESPADAS,24,BASTOS,16,COPAS,1,COPAS,24,24,42,1,-46,1,0,1,1,2,0,0,23,4,0,2,2,0,0,0,NULL,NULL,NULL,1,1,0,0,0,0,0,1,2,14,20,16,22,2,2,74,41
15,2,24,COPAS,6,BASTOS,1,BASTOS,8,ESPADAS,7,OURO,3,OURO,6,3,1,7,-46,8,1,2,1,1,0,0,4,6,2,1,1,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,16,22,18,22,2,0,31,18
16,1,50,BASTOS,16,COPAS,1,ESPADAS,24,ESPADAS,24,BASTOS,8,BASTOS,16,24,50,8,-15,1,2,1,2,0,0,0,4,3,0,0,0,0,0,0,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,18,22,18,23,0,1,67,56
17,1,24,ESPADAS,8,ESPADAS,8,COPAS,8,COPAS,4,BASTOS,3,BASTOS,8,3,-46,1,-46,1,1,1,1,1,0,0,3,7,2,1,1,0,0,0,NULL,NULL,NULL,1,1,0,0,0,0,2,1,1,0,0,2,0,2,0,40,15
18,2,16,ESPADAS,12,OURO,8,ESPADAS,8,COPAS,6,ESPADAS,1,ESPADAS,16,1,-46,1,-46,1,1,1,1,0,0,0,2,24,0,0,0,2,0,0,NULL,NULL,NULL,1,1,0,0,0,0,2,1,1,2,0,3,3,1,3,36,15
19,1,16,OURO,8,COPAS,4,COPAS,24,OURO,8,OURO,7,OURO,16,24,8,7,-15,1,2,1,2,1,0,0,22,3,0,2,2,0,0,0,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,3,3,3,6,0,3,28,39
20,2,7,ESPADAS,6,ESPADAS,1,COPAS,42,OURO,7,ESPADAS,6,ESPADAS,7,6,6,7,-15,1,1,2,-130,1,0,0,4,7,2,1,1,0,0,0,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,3,6,4,7,1,1,14,55
21,1,8,ESPADAS,7,ESPADAS,2,ESPADAS,16,COPAS,6,ESPADAS,2,ESPADAS,8,2,7,1,-46,1,1,1,1,1,0,0,5,27,2,1,1,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,4,7,6,7,2,0,17,24
22,2,50,BASTOS,6,ESPADAS,3,COPAS,42,OURO,6,ESPADAS,1,ESPADAS,3,1,6,42,-46,1,1,1,1,2,0,0,6,7,1,2,1,0,0,0,NULL,NULL,NULL,2,2,0,0,0,0,0,1,2,6,7,8,8,2,1,59,49
23,1,40,OURO,12,COPAS,6,COPAS,52,OURO,24,ESPADAS,7,ESPADAS,6,7,12,-1,40,52,2,1,2,1,0,0,28,3,2,1,1,0,0,0,NULL,NULL,NULL,2,3,0,0,0,0,0,2,2,8,8,9,10,1,2,58,83
24,2,50,BASTOS,16,ESPADAS,16,BASTOS,6,COPAS,3,BASTOS,1,BASTOS,16,1,16,1,-46,1,1,1,1,0,0,0,2,30,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,9,10,10,10,1,0,82,10
25,1,16,ESPADAS,7,ESPADAS,2,BASTOS,40,OURO,8,OURO,1,OURO,16,1,7,8,-15,1,1,2,-130,1,0,0,5,7,2,1,1,0,0,0,NULL,NULL,NULL,1,1,2,2,0,0,1,2,2,10,10,11,12,1,2,25,49
26,2,16,ESPADAS,6,COPAS,2,ESPADAS,8,ESPADAS,7,ESPADAS,6,ESPADAS,6,6,-46,7,-46,1,0,1,1,1,0,0,22,20,2,1,1,0,0,0,NULL,NULL,NULL,1,2,0,0,0,0,2,1,1,11,12,13,12,2,0,24,21
27,1,16,OURO,8,ESPADAS,3,BASTOS,3,COPAS,2,COPAS,2,COPAS,16,1,-46,1,-46,1,1,1,1,1,0,2,6,6,1,2,2,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,13,12,14,14,1,2,27,7
28,2,52,ESPADAS,50,BASTOS,7,COPAS,24,BASTOS,6,BASTOS,2,BASTOS,50,2,7,24,52,6,1,2,1,0,0,0,21,5,0,0,0,0,0,0,NULL,NULL,NULL,1,1,2,2,1,3,0,1,4,14,14,18,14,4,0,109,32
29,1,52,ESPADAS,7,BASTOS,7,COPAS,6,ESPADAS,3,COPAS,1,COPAS,7,1,-46,1,-46,1,1,1,1,2,0,0,21,30,1,2,1,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,18,14,19,15,1,1,66,10
30,2,50,BASTOS,4,COPAS,3,BASTOS,52,BASTOS,16,ESPADAS,2,ESPADAS,3,2,4,16,50,52,1,2,2,2,0,0,28,5,0,1,2,0,0,0,NULL,NULL,NULL,2,2,1,2,2,2,0,2,4,19,15,21,19,2,4,57,70
31,1,8,COPAS,7,BASTOS,2,COPAS,16,ESPADAS,12,OURO,4,OURO,8,12,-46,1,-15,1,-130,-130,-130,2,0,0,5,7,1,2,1,0,0,0,NULL,NULL,NULL,2,1,0,0,0,0,1,2,1,0,0,0,2,0,2,17,32
32,2,52,ESPADAS,24,COPAS,2,OURO,12,OURO,7,COPAS,3,COPAS,24,3,2,7,52,12,1,2,1,2,0,0,5,6,1,2,1,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,0,1,2,0,2,2,3,2,1,78,22
33,1,16,ESPADAS,7,COPAS,2,OURO,24,BASTOS,3,COPAS,3,COPAS,16,24,7,3,-15,1,2,1,2,2,0,0,5,6,1,2,1,0,0,0,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,2,3,2,5,0,2,25,30
34,1,16,BASTOS,7,OURO,2,ESPADAS,24,ESPADAS,6,BASTOS,2,BASTOS,16,24,2,2,-15,NULL,2,0,2,2,0,0,5,5,1,2,1,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,5,5,5,7,0,2,25,32
35,2,24,COPAS,16,ESPADAS,3,COPAS,12,BASTOS,3,OURO,1,OURO,16,12,3,3,-46,NULL,1,0,1,2,0,0,6,6,1,2,1,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,5,7,6,8,1,1,43,16
36,1,24,COPAS,3,ESPADAS,1,BASTOS,24,COPAS,16,ESPADAS,2,ESPADAS,24,24,-10,0,-10,0,0,2,2,0,0,0,29,5,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,6,8,6,9,0,1,28,42
37,2,16,ESPADAS,3,COPAS,2,COPAS,50,COPAS,8,BASTOS,3,BASTOS,3,3,-46,1,-15,1,0,-130,-130,1,0,0,31,6,0,1,2,0,0,0,NULL,NULL,NULL,2,1,0,0,0,0,1,2,1,6,9,8,10,2,1,21,61
38,1,24,BASTOS,4,COPAS,1,ESPADAS,24,COPAS,8,OURO,2,OURO,24,2,4,8,-15,1,1,2,-130,0,0,0,31,5,0,0,0,0,0,0,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,8,10,8,11,0,1,29,34
39,2,42,ESPADAS,40,ESPADAS,8,COPAS,50,OURO,2,BASTOS,1,BASTOS,-46,1,-46,1,-46,1,1,1,1,1,0,0,7,5,0,2,2,0,0,0,NULL,NULL,NULL,1,1,0,0,0,0,2,1,1,8,11,9,13,1,2,90,53
40,1,42,ESPADAS,8,OURO,2,OURO,12,COPAS,7,COPAS,6,COPAS,2,6,42,12,8,7,2,1,1,0,0,0,7,1,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,9,13,10,13,1,0,52,25
41,2,24,OURO,8,COPAS,7,ESPADAS,42,BASTOS,6,ESPADAS,2,ESPADAS,7,2,8,42,24,6,1,2,1,0,0,0,3,32,0,0,0,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,0,1,2,10,13,12,13,2,0,39,50
42,1,7,OURO,3,OURO,1,ESPADAS,8,COPAS,7,COPAS,2,COPAS,7,8,1,7,-15,NULL,2,2,2,0,0,0,6,5,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,12,13,12,14,0,1,11,17
43,2,24,BASTOS,24,COPAS,6,COPAS,16,OURO,4,OURO,2,OURO,6,2,24,16,-46,NULL,1,1,1,0,0,0,3,7,0,0,0,0,0,0,NULL,NULL,NULL,1,1,0,0,0,0,0,1,2,12,14,14,14,2,0,54,22
44,1,24,OURO,7,BASTOS,3,COPAS,42,BASTOS,8,ESPADAS,3,ESPADAS,24,42,7,3,3,8,2,1,2,2,0,0,26,7,1,2,1,0,0,0,NULL,NULL,NULL,1,2,0,0,0,0,0,2,2,14,14,14,17,0,3,34,53
45,2,8,ESPADAS,6,COPAS,2,ESPADAS,12,ESPADAS,7,COPAS,1,COPAS,8,7,6,12,-46,1,1,1,1,0,0,0,20,4,0,0,0,0,0,0,NULL,NULL,NULL,2,2,1,3,0,0,2,1,2,14,17,16,17,2,0,16,20
46,1,12,OURO,7,BASTOS,6,COPAS,16,BASTOS,4,COPAS,3,COPAS,12,16,6,3,7,4,2,1,1,2,0,0,20,35,1,2,1,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,16,17,17,18,1,1,25,23
47,2,12,COPAS,8,COPAS,3,COPAS,7,COPAS,1,ESPADAS,1,ESPADAS,3,1,12,7,-46,NULL,1,1,1,0,0,0,27,4,0,0,0,1,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,17,18,21,18,4,0,23,9
48,1,8,COPAS,2,BASTOS,1,BASTOS,42,ESPADAS,24,ESPADAS,7,ESPADAS,1,0,-46,1,-15,1,-130,-130,-130,0,0,0,5,7,0,0,0,0,0,0,NULL,NULL,NULL,2,1,0,0,0,0,1,2,1,0,0,0,1,0,1,11,73
49,2,7,OURO,4,COPAS,1,BASTOS,3,COPAS,2,ESPADAS,1,ESPADAS,4,3,1,1,-46,1,1,1,1,2,0,1,31,6,0,1,5,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,0,1,6,1,6,0,12,6
50,1,8,ESPADAS,3,OURO,1,BASTOS,16,OURO,6,OURO,2,OURO,8,16,-10,6,-10,0,2,2,2,0,0,0,30,5,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,6,1,6,2,0,1,12,24
51,2,12,COPAS,2,BASTOS,2,BASTOS,8,COPAS,6,COPAS,3,COPAS,12,8,2,3,-15,1,1,2,-130,0,0,0,26,6,0,0,0,0,0,0,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,6,2,6,3,0,1,16,17
52,2,24,ESPADAS,12,BASTOS,6,COPAS,16,OURO,4,OURO,3,OURO,6,4,12,16,24,3,1,2,1,0,0,0,3,7,0,0,0,0,0,0,NULL,NULL,NULL,2,2,0,0,0,0,0,1,2,9,4,11,4,2,0,42,23
53,1,16,ESPADAS,8,COPAS,8,BASTOS,24,ESPADAS,7,ESPADAS,1,ESPADAS,8,24,8,7,-46,1,2,1,1,2,0,0,22,4,1,2,1,0,0,0,NULL,NULL,NULL,1,2,0,0,0,0,2,1,1,11,4,12,5,1,1,32,32
54,2,8,ESPADAS,7,BASTOS,1,COPAS,24,OURO,4,COPAS,2,COPAS,1,24,7,4,8,1,2,1,1,2,0,0,4,35,1,2,1,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,12,5,13,6,1,1,16,30
55,1,50,BASTOS,12,OURO,1,OURO,40,COPAS,3,OURO,2,OURO,1,2,12,3,50,40,2,1,1,0,0,0,4,38,0,0,0,2,0,0,NULL,NULL,NULL,1,2,0,0,0,0,0,1,2,13,6,15,9,2,3,63,45
56,2,42,ESPADAS,24,ESPADAS,8,BASTOS,52,COPAS,16,ESPADAS,7,ESPADAS,8,7,24,52,42,16,1,2,1,1,0,0,7,2,2,1,1,0,0,0,NULL,NULL,NULL,1,1,0,0,0,0,0,1,2,15,9,18,9,3,0,74,75
57,1,24,BASTOS,16,BASTOS,16,BASTOS,8,ESPADAS,6,ESPADAS,2,ESPADAS,16,2,-46,1,-46,1,1,1,1,0,0,2,3,5,1,2,1,0,0,0,NULL,NULL,NULL,1,1,0,0,0,0,2,1,1,18,9,19,10,1,1,56,16
58,2,16,ESPADAS,16,ESPADAS,3,OURO,24,BASTOS,12,OURO,1,OURO,3,24,16,12,16,1,2,1,1,0,0,0,6,28,0,0,0,0,0,0,NULL,NULL,NULL,1,2,2,2,0,0,0,1,3,19,10,22,10,3,0,35,37
60,1,24,BASTOS,7,ESPADAS,1,BASTOS,52,OURO,50,ESPADAS,2,ESPADAS,24,50,7,2,-15,1,2,1,2,2,0,0,4,5,1,2,1,0,0,0,NULL,NULL,NULL,1,2,2,3,0,0,1,2,2,0,0,0,3,0,3,32,104
61,2,24,ESPADAS,8,OURO,6,COPAS,24,COPAS,6,COPAS,1,COPAS,6,1,24,24,-46,NULL,1,0,1,0,0,0,3,27,0,0,0,2,0,0,NULL,NULL,NULL,1,1,0,0,0,0,0,1,2,0,3,2,6,2,3,38,31
62,1,6,BASTOS,3,OURO,1,COPAS,24,ESPADAS,12,BASTOS,8,BASTOS,6,8,-10,12,-10,0,2,2,2,0,0,0,6,3,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,2,6,2,7,0,1,10,44
63,2,50,BASTOS,8,BASTOS,7,COPAS,16,OURO,7,BASTOS,4,BASTOS,8,7,7,16,50,4,1,2,1,0,0,0,1,7,0,0,0,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,0,1,2,2,7,4,7,2,0,65,27
64,1,8,BASTOS,7,ESPADAS,6,BASTOS,4,ESPADAS,3,BASTOS,2,BASTOS,8,2,7,1,-46,1,1,1,1,2,0,0,20,38,1,2,1,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,4,7,5,8,1,1,21,9
65,2,24,COPAS,7,OURO,1,OURO,40,ESPADAS,3,OURO,1,OURO,7,1,24,40,1,3,1,2,2,0,0,0,4,37,0,0,0,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,0,2,2,5,8,5,10,0,2,32,44
66,1,50,BASTOS,16,ESPADAS,2,COPAS,24,COPAS,6,COPAS,1,COPAS,2,0,-46,1,-15,1,-130,-130,-130,0,0,0,5,27,0,0,0,2,0,0,NULL,NULL,NULL,2,1,0,0,0,0,1,2,1,5,10,5,14,0,4,68,31
67,2,50,BASTOS,8,OURO,3,BASTOS,42,COPAS,6,ESPADAS,2,ESPADAS,8,2,3,6,50,42,1,2,1,0,0,0,6,7,0,0,0,0,0,0,NULL,NULL,NULL,2,2,1,3,0,0,0,1,3,5,14,8,14,3,0,61,50
68,1,24,ESPADAS,24,BASTOS,4,OURO,24,BASTOS,8,COPAS,6,COPAS,24,6,4,8,24,24,1,2,0,1,0,0,30,3,2,1,1,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,0,1,2,8,14,11,14,3,0,52,38
69,2,42,ESPADAS,8,ESPADAS,3,COPAS,24,OURO,12,BASTOS,2,BASTOS,3,2,8,12,42,24,1,2,1,1,0,0,7,5,2,1,1,0,0,0,NULL,NULL,NULL,2,2,1,3,0,0,0,1,3,11,14,15,14,4,0,53,38
70,1,50,BASTOS,24,COPAS,7,COPAS,16,BASTOS,8,ESPADAS,6,ESPADAS,24,6,7,8,-1,16,1,2,2,0,0,0,24,2,0,0,0,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,0,2,2,15,14,15,16,0,2,81,30
71,2,24,BASTOS,8,BASTOS,7,ESPADAS,52,COPAS,16,ESPADAS,2,ESPADAS,7,2,8,16,-10,52,-10,2,2,0,0,0,3,28,0,0,0,2,0,0,NULL,NULL,NULL,2,2,0,0,0,0,0,2,2,15,16,15,21,0,5,39,70
72,1,8,OURO,7,COPAS,4,COPAS,52,OURO,7,ESPADAS,3,ESPADAS,8,3,7,52,-10,7,-10,2,2,0,0,0,20,6,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,15,21,15,22,0,1,19,62
75,1,8,OURO,8,COPAS,6,ESPADAS,6,ESPADAS,6,BASTOS,2,BASTOS,8,1,-46,1,-46,1,1,1,1,2,0,0,0,5,0,2,2,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,3,2,4,4,1,2,22,14
76,2,2,BASTOS,2,BASTOS,1,OURO,6,OURO,3,OURO,3,OURO,1,6,2,3,-15,NULL,2,2,2,1,0,0,5,32,0,1,2,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,4,4,6,5,2,1,5,12
77,1,16,OURO,12,ESPADAS,1,COPAS,6,COPAS,2,BASTOS,1,BASTOS,1,2,12,6,16,1,2,1,1,0,0,0,4,5,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,6,5,7,5,1,0,29,9
78,2,24,COPAS,7,BASTOS,1,COPAS,16,ESPADAS,16,BASTOS,8,BASTOS,24,16,7,8,1,16,1,2,2,0,0,0,4,2,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,7,5,7,6,0,1,32,40
79,1,16,OURO,12,OURO,6,BASTOS,16,OURO,16,ESPADAS,8,ESPADAS,6,8,16,16,-46,NULL,2,0,2,0,0,0,23,2,0,0,0,1,0,0,NULL,NULL,NULL,2,1,0,0,0,0,0,2,2,7,6,10,8,3,2,34,40
80,2,16,BASTOS,7,COPAS,2,ESPADAS,40,ESPADAS,8,OURO,1,OURO,2,1,7,8,16,40,1,2,2,0,0,0,5,7,0,0,0,0,0,0,NULL,NULL,NULL,2,2,0,0,0,0,0,2,2,10,8,10,10,0,2,25,49
81,1,50,BASTOS,3,BASTOS,3,COPAS,16,ESPADAS,12,OURO,6,OURO,3,6,50,16,3,12,2,1,2,0,0,0,6,2,0,0,0,0,0,0,NULL,NULL,NULL,2,1,0,0,0,0,0,2,2,10,10,10,12,0,2,56,34
82,2,24,BASTOS,4,BASTOS,2,BASTOS,7,COPAS,4,COPAS,3,COPAS,24,7,2,3,-46,4,1,2,1,2,0,0,7,7,0,2,2,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,10,12,11,14,1,2,30,14
83,1,24,COPAS,12,OURO,1,OURO,40,COPAS,16,OURO,4,OURO,1,4,24,16,12,40,2,1,2,2,0,0,24,36,0,2,2,0,0,0,NULL,NULL,NULL,2,1,0,0,0,0,0,2,2,11,14,11,18,0,4,37,60
84,2,8,OURO,7,COPAS,2,COPAS,16,BASTOS,4,COPAS,1,COPAS,2,16,7,4,8,1,2,1,1,0,0,0,5,33,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,11,18,12,18,1,0,17,21
85,1,42,ESPADAS,40,OURO,2,OURO,24,OURO,8,COPAS,4,COPAS,2,4,40,24,42,1,2,1,1,1,0,0,32,7,2,1,1,0,0,0,NULL,NULL,NULL,2,1,1,1,0,0,0,1,3,12,18,16,18,4,0,84,36
86,2,16,ESPADAS,6,COPAS,1,COPAS,24,OURO,8,BASTOS,3,BASTOS,1,24,16,8,6,1,2,1,1,0,0,0,4,6,0,0,0,0,0,0,NULL,NULL,NULL,2,3,0,0,0,0,0,1,2,16,18,18,18,2,0,23,35
87,1,42,ESPADAS,4,OURO,1,BASTOS,24,BASTOS,3,COPAS,2,COPAS,1,2,42,24,-15,1,2,1,2,2,0,0,7,6,1,2,1,0,0,0,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,18,18,18,20,0,2,47,29
88,2,52,ESPADAS,3,BASTOS,1,BASTOS,24,ESPADAS,16,BASTOS,3,BASTOS,52,24,3,1,-46,1,1,1,1,1,0,0,27,31,0,1,2,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,18,20,21,20,3,0,56,43
89,1,40,OURO,16,ESPADAS,2,COPAS,12,OURO,8,OURO,6,OURO,2,6,16,8,40,12,2,1,1,1,0,0,29,1,2,1,1,0,0,0,NULL,NULL,NULL,1,2,2,2,0,0,0,1,3,21,20,25,20,4,0,58,26
90,2,24,ESPADAS,6,BASTOS,3,COPAS,24,COPAS,8,COPAS,4,COPAS,3,4,24,8,6,24,2,1,2,0,0,0,6,30,0,0,0,2,0,0,NULL,NULL,NULL,1,2,0,0,0,0,0,2,2,4,0,4,5,0,5,33,36
91,1,6,ESPADAS,4,BASTOS,3,OURO,24,BASTOS,16,OURO,8,OURO,4,16,-1,24,-15,NULL,2,2,2,0,0,1,33,25,2,1,1,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,4,5,5,6,1,1,13,48
92,1,40,OURO,16,ESPADAS,8,BASTOS,8,OURO,3,BASTOS,2,BASTOS,8,3,16,1,-46,1,1,1,1,1,0,2,29,31,0,1,5,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,10,7,16,7,6,0,64,13
93,2,24,COPAS,6,ESPADAS,1,BASTOS,4,BASTOS,1,COPAS,1,COPAS,6,1,1,4,-46,1,1,2,1,0,0,0,4,7,0,0,0,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,2,2,3,2,1,0,31,6
94,1,50,BASTOS,4,ESPADAS,1,OURO,52,BASTOS,40,ESPADAS,8,ESPADAS,1,8,50,40,4,52,2,1,2,1,0,0,28,7,0,1,2,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,3,2,5,3,2,1,55,100
95,2,24,ESPADAS,16,COPAS,3,COPAS,16,BASTOS,12,COPAS,2,COPAS,3,2,16,16,-46,NULL,1,0,1,0,0,0,6,28,0,0,0,0,0,0,NULL,NULL,NULL,1,1,0,0,0,0,0,1,2,5,3,7,3,2,0,43,30
96,1,24,COPAS,16,BASTOS,2,OURO,3,OURO,2,ESPADAS,2,ESPADAS,2,3,-46,2,-46,1,-130,1,1,0,0,0,5,6,0,0,0,0,0,0,NULL,NULL,NULL,1,2,0,0,0,0,2,1,1,7,3,8,3,1,0,42,7
97,2,40,OURO,12,OURO,6,ESPADAS,3,COPAS,2,COPAS,1,COPAS,6,3,12,2,-46,NULL,1,1,1,2,0,0,7,6,0,2,2,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,8,3,9,5,1,2,58,6
98,1,8,COPAS,7,COPAS,3,OURO,42,COPAS,40,ESPADAS,8,ESPADAS,3,0,-46,1,-15,1,-130,-130,-130,0,0,0,26,7,0,0,0,1,0,0,NULL,NULL,NULL,2,1,0,0,0,0,1,2,1,9,5,12,6,3,1,18,90
99,2,24,COPAS,16,ESPADAS,7,ESPADAS,52,BASTOS,42,ESPADAS,8,ESPADAS,16,8,7,42,-10,52,-10,2,2,0,0,0,3,28,0,0,0,2,0,0,NULL,NULL,NULL,2,2,0,0,0,0,0,2,2,12,6,12,11,0,5,47,102
